StudentID,Name,Class,Gender,Chinese,Math,English,Attendance,StudyHours,Total
2024031,朱涛,C,女,81.6,59.7,62.4,1.0,1.6,203.70000000000002
2024068,刘明,A,女,83.8,80.1,74.1,0.84,4.9,237.99999999999997
2024063,朱洋,A,女,81.3,75.4,74.4,0.93,3.8,231.1
2024048,吴雪,A,女,66.1,87.4,69.9,0.89,2.2,223.4
2024043,罗华,B,男,81.8,61.2,61.2,0.96,9.0,204.2
2024041,黄娜,B,男,33.0,65.2,48.7,0.75,9.7,146.9
2024091,郭杰,B,女,81.3,57.9,70.9,0.97,6.4,210.1
2024046,高军,C,女,88.0,62.6,66.8,0.8,8.3,217.39999999999998
2024011,李娜,B,女,74.0,70.4,56.8,0.89,9.5,201.2
2024001,王伟,A,男,98.7,5.0,85.6,0.88,4.3,257.1
2024019,孙艳,C,男,80.7,63.7,69.5,0.8,4.7,213.9
2024032,朱敏,C,男,83.3,67.3,63.2,0.74,5.7,213.8
2024098,马涛,B,女,62.1,60.7,24.3,0.76,6.7,147.10000000000002
2024086,王杰,C,男,79.1,68.5,62.3,0.8,7.1,209.89999999999998
2024077,孙杰,C,女,67.8,53.8,63.8,1.0,6.9,185.39999999999998
2024005,罗丽,A,女,92.7,73.1,,0.84,10.5,249.4
2024080,高涛,B,女,73.9,64.0,51.1,0.9,3.8,189.0
2024034,杨洋,B,男,59.0,63.1,77.3,0.9,2.8,199.39999999999998
2024013,张娜,B,男,47.3,45.4,63.7,0.83,3.0,156.39999999999998
2024027,张磊,C,男,74.4,83.7,59.4,0.95,3.2,217.50000000000003
2024004,王洋,A,女,85.0,93.7,77.5,0.85,8.3,256.2
2024054,陈敏,B,男,66.5,89.2,68.6,0.95,10.2,224.29999999999998
2024023,李娜,B,男,56.7,69.0,66.1,0.86,9.8,191.8
2024069,罗静,B,女,63.8,43.0,70.0,0.82,10.2,176.8
2024045,陈明,B,男,63.7,69.4,77.7,0.88,2.1,210.8
2024099,郭琳,A,男,80.3,64.4,71.6,0.98,8.0,216.29999999999998
2024016,胡超,B,女,64.4,82.5,66.0,0.68,4.8,212.9
2024074,李伟,A,男,61.8,70.5,75.3,0.8,9.2,207.60000000000002
2024040,朱敏,A,女,78.1,78.3,75.0,0.89,4.0,231.39999999999998
2024010,孙洋,C,女,66.1,77.0,82.8,0.91,5.6,225.89999999999998
2024085,孙琳,C,女,65.0,59.2,75.7,0.79,7.0,199.9
2024012,孙明,A,男,78.7,68.4,75.8,0.96,8.9,222.90000000000003
2024004,王洋,A,女,85.0,93.7,77.5,0.85,8.3,256.2
2024056,周伟,B,男,85.6,62.1,68.3,0.93,5.4,216.0
2024029,胡丽,A,男,62.3,74.8,78.7,0.84,3.9,215.8
2024065,林杰,A,男,79.7,67.0,,0.69,6.8,225.79999999999998
2024006,何丽,C,男,83.0,65.9,63.5,0.96,4.4,212.4
2024079,胡洋,B,女,73.6,58.0,66.3,0.86,4.3,197.89999999999998
2024066,王艳,A,女,88.3,77.6,73.0,0.87,6.5,238.89999999999998
2024036,胡超,A,女,92.9,87.6,65.4,0.91,7.0,245.9
2024017,徐明,C,男,70.2,70.8,69.4,0.82,5.3,210.4
2024092,陈磊,B,男,48.0,81.5,51.1,1.0,10.3,180.6
2024035,王琳,A,女,75.2,81.0,75.5,1.0,6.2,231.7
2024008,徐芳,B,男,58.8,58.6,76.3,0.94,5.6,193.7
2024044,黄军,A,女,80.9,72.0,92.8,0.94,8.5,245.7
2024073,王华,B,男,77.1,57.6,92.3,0.94,9.9,227.0
2024028,王敏,B,女,,56.1,76.7,0.93,1.8,200.60000000000002
2024020,胡娜,C,女,79.0,,77.3,0.82,1.8,223.5
2024084,杨敏,B,男,64.5,72.5,50.8,0.86,8.5,187.8
2024026,周涛,C,男,79.8,78.4,76.6,0.78,10.3,234.79999999999998
2024078,朱秀英,B,女,,67.0,66.5,0.88,7.4,202.4
2024050,马强,C,男,57.9,52.6,72.2,0.96,6.7,182.7
2024014,罗芳,A,女,72.6,75.9,74.9,0.75,7.3,223.4
2024025,杨丽,B,男,59.2,67.3,52.7,0.8,4.4,179.2
2024004,王洋,A,女,85.0,93.7,77.5,0.85,8.3,256.2
2024018,郭静,B,男,58.5,53.0,56.8,0.8,4.7,168.3
2024039,朱丽,B,男,69.4,61.6,60.7,0.93,6.5,191.7
2024009,胡杰,A,男,81.1,80.7,79.4,0.8,7.4,241.20000000000002
2024081,黄雪,A,女,69.3,,87.1,0.9,10.3,237.99999999999997
2024007,高杰,B,男,80.7,58.6,55.3,0.96,4.9,194.60000000000002
2024067,朱超,B,女,51.4,83.9,52.0,0.92,2.0,187.3
2024037,高伟,A,女,81.2,68.5,77.5,0.92,5.8,227.2
2024090,陈超,A,男,78.2,75.8,80.7,0.94,7.7,234.7
2024057,罗军,C,女,81.8,62.6,49.4,0.84,5.2,193.8
2024096,黄军,B,男,98.6,,77.5,0.79,7.9,231.39999999999998
2024055,黄华,A,男,85.4,69.2,77.0,0.85,6.1,231.60000000000002
2024051,朱洋,B,男,48.7,51.4,63.4,0.95,10.2,163.5
2024070,王杰,B,女,74.4,51.9,64.1,1.0,4.8,190.4
2024047,高娜,A,女,87.2,81.5,84.6,0.7,7.6,253.29999999999998
2024071,张洋,A,男,77.3,79.7,76.0,0.88,6.0,233.0
2024062,李洋,C,男,70.9,63.0,70.6,0.96,7.1,204.5
2024100,陈华,C,女,61.7,66.3,75.4,0.81,5.3,203.4
2024082,陈涛,A,男,86.4,76.9,66.4,0.99,5.2,229.70000000000002
2024042,高军,B,男,64.5,48.1,49.0,0.94,9.1,161.6
2024059,周军,C,男,78.7,76.8,48.3,0.78,5.7,203.8
2024049,周涛,B,女,69.3,63.2,55.5,0.97,5.5,188.0
2024089,黄丽,B,男,50.9,45.8,69.0,0.83,9.5,165.7
2024058,徐娜,B,女,70.1,76.9,49.8,0.92,1.9,196.8
2024076,胡磊,B,男,71.5,65.6,70.0,0.99,3.6,207.1
2024033,孙华,A,女,82.8,71.1,84.2,0.83,8.4,238.09999999999997
2024097,王明,A,男,83.2,72.7,87.3,0.98,1.7,243.2
2024060,周敏,C,女,62.6,66.0,69.2,0.78,7.2,197.8
2024064,林华,B,男,59.2,57.1,58.8,0.89,5.6,175.10000000000002
2024095,郭娜,B,男,48.5,88.8,72.6,0.8,6.4,209.9
2024038,陈芳,B,女,67.8,52.3,78.7,0.83,6.5,198.8
2024030,胡娜,C,男,62.5,63.7,71.2,0.79,4.3,197.4
2024002,赵涛,A,男,74.3,78.3,87.9,0.2,5.6,240.5
2024053,罗军,B,男,66.1,65.2,72.5,0.97,3.8,203.8
2024022,林芳,A,男,77.2,61.8,85.6,0.95,6.2,224.6
2024003,李静,A,男,86.3,73.4,74.9,0.98,4.2,234.6
2024024,黄秀英,B,男,79.0,91.2,50.5,0.97,4.5,220.7
2024088,周伟,C,女,75.4,62.4,55.3,0.94,6.5,193.10000000000002
2024094,张琳,C,女,72.3,72.1,69.1,0.83,4.5,213.49999999999997
2024075,黄琳,C,女,70.0,57.7,75.5,0.9,8.0,203.2
2024087,李芳,C,女,71.8,65.1,63.0,0.91,2.5,199.89999999999998
2024083,高敏,C,女,71.9,85.6,77.2,0.8,10.0,234.7
2024021,张涛,A,女,64.7,73.9,76.6,0.98,2.7,215.20000000000002
2024061,赵磊,A,男,71.1,68.6,89.4,0.96,5.0,229.1
2024072,周敏,A,男,64.0,70.8,77.8,0.92,5.8,212.60000000000002
2024015,周雪,A,男,77.2,79.9,72.3,0.94,9.8,229.40000000000003
2024093,高勇,B,女,58.5,57.8,47.7,0.89,5.5,164.0
2024052,高秀英,B,男,35.3,74.3,37.1,0.87,7.8,146.7
